2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
20000625;20010626;20020626;20030626;20040625;20050626;20060626;20070626;20080625;20090626;20100626;20110626;20120625;20130626;20140626;20150626;20160625;20170626;20180626;20190626;20200625;20210626
20000703;20010704;20020704;20030704;20040703;20050704;20060704;20070704;20080703;20090704;20100704;20110704;20120703;20130704;20140704;20150704;20160703;20170704;20180704;20190704;20200703;20210704
20000711;20010712;20020712;20030712;20040711;20050712;20060712;20070712;20080711;20090712;20100712;20110712;20120711;20130712;20140712;20150712;20160711;20170712;20180712;20190712;20200711;20210712
20000719;20010720;20020720;20030720;20040719;20050720;20060720;20070720;20080719;20090720;20100720;20110720;20120719;20130720;20140720;20150720;20160719;20170720;20180720;20190720;20200719;20210720
20000727;20010728;20020728;20030728;20040727;20050728;20060728;20070728;20080727;20090728;20100728;20110728;20120727;20130728;20140728;20150728;20160727;20170728;20180728;20190728;20200727;20210728
20000804;20010805;20020805;20030805;20040804;20050805;20060805;20070805;20080804;20090805;20100805;20110805;20120804;20130805;20140805;20150805;20160804;20170805;20180805;20190805;20200804;20210805
20000812;20010813;20020813;20030813;20040812;20050813;20060813;20070813;20080812;20090813;20100813;20110813;20120812;20130813;20140813;20150813;20160812;20170813;20180813;20190813;20200812;20210813
20000820;20010821;20020821;20030821;20040820;20050821;20060821;20070821;20080820;20090821;20100821;20110821;20120820;20130821;20140821;20150821;20160820;20170821;20180821;20190821;20200820;20210821
20000828;20010829;20020829;20030829;20040828;20050829;20060829;20070829;20080828;20090829;20100829;20110829;20120828;20130829;20140829;20150829;20160828;20170829;20180829;20190829;20200828;20210829
20000905;20010906;20020906;20030906;20040905;20050906;20060906;20070906;20080905;20090906;20100906;20110906;20120905;20130906;20140906;20150906;20160905;20170906;20180906;20190906;20200905;20210906
20000913;20010914;20020914;20030914;20040913;20050914;20060914;20070914;20080913;20090914;20100914;20110914;20120913;20130914;20140914;20150914;20160913;20170914;20180914;20190914;20200913;20210914
20000921;20010922;20020922;20030922;20040921;20050922;20060922;20070922;20080921;20090922;20100922;20110922;20120921;20130922;20140922;20150922;20160921;20170922;20180922;20190922;20200921;20210922
20000929;20010930;20020930;20030930;20040929;20050930;20060930;20070930;20080929;20090930;20100930;20110930;20120929;20130930;20140930;20150930;20160929;20170930;20180930;20190930;20200929;20210930
20001007;20011008;20021008;20031008;20041007;20051008;20061008;20071008;20081007;20091008;20101008;20111008;20121007;20131008;20141008;20151008;20161007;20171008;20181008;20191008;20201007;20211008
20001015;20011016;20021016;20031016;20041015;20051016;20061016;20071016;20081015;20091016;20101016;20111016;20121015;20131016;20141016;20151016;20161015;20171016;20181016;20191016;20201015;20211016
20001023;20011024;20021024;20031024;20041023;20051024;20061024;20071024;20081023;20091024;20101024;20111024;20121023;20131024;20141024;20151024;20161023;20171024;20181024;20191024;20201023;20211024
20001031;20011101;20021101;20031101;20041031;20051101;20061101;20071101;20081031;20091101;20101101;20111101;20121031;20131101;20141101;20151101;20161031;20171101;20181101;20191101;20201031;20211101
20001108;20011109;20021109;20031109;20041108;20051109;20061109;20071109;20081108;20091109;20101109;20111109;20121108;20131109;20141109;20151109;20161108;20171109;20181109;20191109;20201108;20211109
20001116;20011117;20021117;20031117;20041116;20051117;20061117;20071117;20081116;20091117;20101117;20111117;20121116;20131117;20141117;20151117;20161116;20171117;20181117;20191117;20201116;20211117
20001124;20011125;20021125;20031125;20041124;20051125;20061125;20071125;20081124;20091125;20101125;20111125;20121124;20131125;20141125;20151125;20161124;20171125;20181125;20191125;20201124;20211125
20001202;20011203;20021203;20031203;20041202;20051203;20061203;20071203;20081202;20091203;20101203;20111203;20121202;20131203;20141203;20151203;20161202;20171203;20181203;20191203;20201202;20211203
20001210;20011211;20021211;20031211;20041210;20051211;20061211;20071211;20081210;20091211;20101211;20111211;20121210;20131211;20141211;20151211;20161210;20171211;20181211;20191211;20201210;20211211
20001218;20011219;20021219;20031219;20041218;20051219;20061219;20071219;20081218;20091219;20101219;20111219;20121218;20131219;20141219;20151219;20161218;20171219;20181219;20191219;20201218;20211219
20001226;20011227;20021227;20031227;20041226;20051227;20061227;20071227;20081226;20091227;20101227;20111227;20121226;20131227;20141227;20151227;20161226;20171227;20181227;20191227;20201226;20211227



LENGTH OF TIME SERIES;;;;;;;;;;;;;;;;;;;;;
2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
40;45;40;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46
